,date,delta_deaths_per_capita,delta_cases_per_capita,delta_deaths_per_capita.l1,delta_cases_per_capita.l1,log_new_vaccines_per_capita,log_new_people_vaccinated_per_capita,delta_cases_per_capita_United_Kingdom,delta_deaths_per_capita_United Kingdom,delta_cases_per_capita_Germany,delta_deaths_per_capita_Germany,delta_cases_per_capita_France,delta_deaths_per_capita_France,full_lockdown,full_lockdown.l30,full_lockdown.l45,max_tp,min_tp,rain,humidity,day_of_the_week,season,trend
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.65,1.65,0.0,0,0,1
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,5.864490909262045e-07,0.0,3.933231793180281e-07,0.0,9.047491916585092e-07,1.4831953961614909e-08,0,0.0,0.0,0.0875000000000012,0.7750000000000001,2.1562500000000004,0.0875000000000012,1,0,2
2,2020-03-03,0.0,2.00686186207882e-07,0.0,0.0,0.0,0.0,8.063675000235313e-07,0.0,4.529176004268202e-07,0.0,3.114710331939127e-07,1.4831953961614896e-08,0,0.0,0.0,1.3749999999999982,2.1625000000000005,0.8,1.287499999999997,2,0,3
3,2020-03-04,0.0,8.027447448315279e-07,0.0,2.00686186207882e-07,0.0,0.0,8.210287272966864e-07,0.0,6.197819795314377e-07,0.0,1.127228501082733e-06,0.0,0,0.0,0.0,0.4125000000000014,-1.1102230246251563e-16,0.50625,-0.9624999999999968,3,0,4
4,2020-03-05,0.0,0.0,0.0,8.027447448315279e-07,0.0,0.0,7.184001363846011e-07,0.0,1.2991583801716682e-06,0.0,2.046809646702856e-06,4.4495861884844725e-08,0,0.0,0.0,-0.7875000000000014,-0.925,2.3625,-1.2000000000000028,4,0,5
5,2020-03-06,0.0,2.408234234494584e-06,0.0,0.0,0.0,0.0,1.1582369545792538e-06,0.0,2.204993581025308e-06,0.0,2.818071252706832e-06,2.9663907923229808e-08,0,0.0,0.0,1.0875000000000004,2.2875,0.94375,1.8750000000000016,5,0,6
6,2020-03-07,0.0,0.0,0.0,2.408234234494584e-06,0.0,0.0,8.063675000235313e-07,1.4661227273155112e-08,1.7878326332637628e-06,0.0,4.9242087152561484e-06,1.038236777313043e-07,0,0.0,0.0,2.5,6.8625,4.34375,1.4124999999999996,6,0,7
7,2020-03-08,0.0,2.006861862078824e-07,0.0,0.0,0.0,0.0,7.917062727503758e-07,0.0,1.942778128146623e-06,0.0,2.6252558512058368e-06,4.449586188484471e-08,0,0.0,0.0,-2.5,4.8875,3.6125,-5.0,0,0,8
8,2020-03-09,0.0,4.013723724157634e-07,0.0,2.006861862078824e-07,0.0,0.0,2.155200409153802e-06,1.4661227273155112e-08,3.158504318765982e-06,0.0,4.241938833021862e-06,8.899172376968942e-08,0,0.0,0.0,2.0375,5.2875000000000005,15.0375,4.5375,1,0,9
9,2020-03-10,0.0,2.608920420702466e-06,0.0,4.013723724157634e-07,0.0,0.0,3.78259663647402e-06,5.8644909092620466e-08,2.1930746968035496e-06,0.0,5.517486873720744e-06,1.1865563169291919e-07,0,0.0,0.0,-0.0124999999999975,5.437499999999999,1.6437500000000005,-2.049999999999997,2,0,10
10,2020-03-11,0.0,1.8061756758709376e-06,0.0,2.608920420702466e-06,0.0,0.0,6.025764409266751e-06,0.0,3.230017624096533e-06,1.191888422175842e-08,7.564296520423603e-06,2.2247930942422367e-07,0,0.0,0.0,-1.3125000000000018,1.6749999999999998,6.512500000000001,-1.3000000000000045,3,0,11
11,2020-03-12,0.0,0.0,0.0,1.8061756758709376e-06,0.0,0.0,7.16934013657285e-06,2.9322454546310243e-08,9.558945145850252e-06,2.3837768443516844e-08,0.0,0.0,0,0.0,0.0,-1.362499999999999,1.6625,5.081250000000002,-0.0499999999999971,4,0,12
12,2020-03-13,0.0,9.432250751770454e-06,0.0,0.0,0.0,0.0,7.0227278638413e-06,1.4661227273155108e-08,8.259786765678587e-06,0.0,2.054225623683664e-05,4.59790572810062e-07,0,0.0,0.0,1.7374999999999972,4.0,2.63125,3.099999999999996,5,0,13
13,2020-03-14,2.00686186207882e-07,7.826761262107397e-06,0.0,9.432250751770454e-06,0.0,0.0,5.3366867274284605e-06,2.785633181899472e-07,8.736542134548922e-06,3.5756652665275276e-08,1.2088042478716152e-05,1.7798344753937874e-07,0,0.0,0.0,0.6625000000000014,5.6375,3.89375,-1.0749999999999955,6,0,14
14,2020-03-15,0.0,0.0,2.00686186207882e-07,7.826761262107397e-06,0.0,0.0,6.48026245473456e-06,2.052571818241716e-07,1.2431396243294032e-05,4.767553688703368e-08,5.339503426181341e-07,0.0,0,0.0,0.0,-1.5374999999999996,2.35,0.46875,-2.200000000000001,0,0,15
15,2020-03-16,0.0,8.027447448315276e-06,0.0,0.0,0.0,0.0,8.97267109117093e-06,3.225470000094126e-07,1.3992770076344385e-05,0.0,3.190353297143365e-05,8.602533297736643e-07,0,0.0,0.0,0.450000000000001,0.9625,1.9625,1.9875000000000007,1,0,16
16,2020-03-17,0.0,1.0837054055225632e-05,0.0,8.027447448315276e-06,0.0,0.0,1.1259822545783135e-05,2.492408636436369e-07,1.3635203549691644e-05,0.0,1.5306576488386574e-05,0.0,0,0.0,0.0,1.862499999999999,5.550000000000001,7.875000000000001,1.412499999999998,2,0,17
17,2020-03-18,0.0,1.3847346848343854e-05,0.0,1.0837054055225632e-05,0.0,0.0,1.4646566045881955e-05,4.984817272872738e-07,1.2419477359072265e-05,0.0,2.089822313191541e-05,0.0,0,0.0,0.0,-4.0875,2.2875,0.09375,-5.949999999999999,3,0,18
18,2020-03-19,2.0068618620788202e-07,5.318183934508872e-05,0.0,1.3847346848343854e-05,0.0,0.0,1.5467594773178645e-05,6.744164545651353e-07,3.338479470514535e-05,9.535107377406739e-08,2.7305627243333025e-05,1.409035626353416e-06,0,0.0,0.0,1.387500000000001,0.3,0.13125,5.475000000000001,4,0,19
19,2020-03-20,0.0,2.5286459462193133e-05,2.0068618620788202e-07,5.318183934508872e-05,0.0,0.0,1.8385179000536515e-05,4.691592727409634e-07,3.525605952796139e-05,1.3110772643934262e-07,2.644537391355937e-05,3.0702144700542847e-06,0,0.0,0.0,0.1124999999999989,-0.0749999999999999,0.0375,-1.275000000000002,5,0,20
20,2020-03-21,0.0,2.046999099320396e-05,0.0,2.5286459462193133e-05,0.0,0.0,1.7549489045966664e-05,8.503511818429966e-07,3.224058181985654e-05,1.907021475481348e-07,2.519948978078372e-05,1.6611788437008688e-06,0,0.0,0.0,-2.7,3.8125,0.9375,-2.8124999999999982,6,1,21
21,2020-03-22,2.0068618620788202e-07,2.428302853115373e-05,0.0,2.046999099320396e-05,0.0,0.0,2.0686991682421874e-05,5.278041818335847e-07,2.3217986463985413e-05,9.535107377406736e-08,3.403933434190621e-05,1.6760107976624846e-06,0,0.0,0.0,4.125,2.4875000000000003,0.01875,6.824999999999999,0,1,22
22,2020-03-23,4.01372372415764e-07,4.395027477952616e-05,2.0068618620788202e-07,2.428302853115373e-05,0.0,0.0,3.42926105919098e-05,1.114253272759788e-06,4.841450770878272e-05,3.6948541087451115e-07,4.9761205541218e-05,2.758743436860372e-06,0,0.0,0.0,0.3000000000000007,3.6125,0.3625,-3.8249999999999993,1,1,23
23,2020-03-24,2.006861862078821e-07,4.093998198640792e-05,4.01372372415764e-07,4.395027477952616e-05,0.0,0.0,3.490838213738234e-05,2.1698616364269566e-06,5.6781564432457096e-05,3.337287582092358e-07,3.326807273590224e-05,3.5596689507875782e-06,0,0.0,0.0,1.0875000000000004,7.225,0.19375,0.7874999999999996,2,1,24
24,2020-03-25,4.013723724157638e-07,4.71612537588523e-05,2.006861862078821e-07,4.093998198640792e-05,0.0,0.0,3.9497346273879895e-05,2.8002944091726275e-06,4.908196522520117e-05,4.171609477615448e-07,4.382842395657204e-05,3.426181365133043e-06,0,0.0,0.0,0.6874999999999982,6.150000000000001,0.7937500000000001,-0.4000000000000021,3,1,25
25,2020-03-26,2.00686186207882e-06,5.1174977483009866e-05,4.013723724157638e-07,4.71612537588523e-05,0.0,0.0,4.527386981950296e-05,2.653682136441076e-06,5.904615243459125e-05,5.840253268661628e-07,5.8081931713683936e-05,5.3988312420278245e-06,0,0.0,0.0,-0.7999999999999989,4.325,0.0,-1.4874999999999972,4,1,26
26,2020-03-27,6.020585586236457e-07,6.060722823478037e-05,2.00686186207882e-06,5.1174977483009866e-05,0.0,0.0,4.719449059228633e-05,4.237094681941827e-06,6.889115080176362e-05,6.555386321967131e-07,5.6242769422443694e-05,4.434754234522855e-06,1,0.0,0.0,1.0,2.8375,0.0,1.799999999999999,5,1,27
27,2020-03-28,2.809606606910348e-06,5.900173874511731e-05,6.020585586236457e-07,6.060722823478037e-05,0.0,0.0,4.163788545576049e-05,4.281078363761293e-06,7.501745729174758e-05,8.581596639666065e-07,6.893892201358608e-05,4.716561359793539e-06,1,0.0,0.0,-1.8000000000000007,4.4625,0.0,-2.8000000000000007,6,1,28
28,2020-03-29,2.006861862078821e-06,4.013723724157636e-05,2.809606606910348e-06,5.900173874511731e-05,0.0,0.0,4.207772227395517e-05,3.1081801819088843e-06,4.725837593927212e-05,7.628085901925388e-07,3.860757616208361e-05,4.360594464714778e-06,1,0.0,0.0,-3.075,0.55,0.0,-1.2749999999999986,0,1,29
29,2020-03-30,1.6054894896630553e-06,5.9202424931325214e-05,2.006861862078821e-06,4.013723724157636e-05,0.0,0.0,6.276471395637702e-05,5.512621454706324e-06,5.66266189375742e-05,7.866463586360557e-07,6.441517605529357e-05,6.184924801993415e-06,1,0.0,0.0,1.8874999999999995,1.1375,0.0,4.962499999999999,1,1,30
30,2020-03-31,3.4116651655339946e-06,6.522301051756164e-05,1.6054894896630553e-06,5.9202424931325214e-05,0.0,0.0,6.62394248201149e-05,5.90847459108151e-06,5.500565068341514e-05,1.5256171803850776e-06,0.0001132419684969,7.430808934769072e-06,1,0.0,0.0,0.3625000000000007,3.5375,0.09375,-1.5249999999999986,2,1,31
31,2020-04-01,2.809606606910346e-06,4.254547147607103e-05,3.4116651655339946e-06,6.522301051756164e-05,0.0,0.0,7.23971402748399e-05,9.852344727560238e-06,6.499367566124869e-05,1.7759137490420052e-06,7.1831153036101e-05,1.8584438313903463e-05,1,0.0,0.0,-0.0875000000000003,4.749999999999999,0.425,-0.450000000000001,3,1,32
32,2020-04-02,2.608920420702467e-06,8.067584685556852e-05,2.809606606910346e-06,4.254547147607103e-05,0.0,0.0,7.178136872936739e-05,9.632426318462911e-06,7.337265126914488e-05,1.668643791046179e-06,3.114710331939127e-05,9.032659962623482e-06,1,0.0,0.0,1.1624999999999996,5.775,1.83125,1.25,4,1,33
33,2020-04-03,4.4150960965734046e-06,8.509094295214195e-05,2.608920420702467e-06,8.067584685556852e-05,0.0,0.0,7.21918830930158e-05,1.080532450031532e-05,7.358719118513647e-05,1.7282382121549703e-06,7.746729554151466e-05,1.6641452344931916e-05,1,0.0,0.0,-0.0124999999999992,5.537499999999999,0.45,-1.174999999999999,5,1,34
34,2020-04-04,3.411665165533993e-06,6.642712763480895e-05,4.4150960965734046e-06,8.509094295214195e-05,0.0,0.0,5.968585622901453e-05,1.1098549045778414e-05,7.249065383673479e-05,1.6805626752679384e-06,7.746729554151466e-05,1.5603215567618883e-05,1,0.0,0.0,0.7749999999999986,6.025,0.04375,0.7874999999999979,6,1,35
35,2020-04-05,4.214409910365522e-06,7.826761262107402e-05,3.411665165533993e-06,6.642712763480895e-05,0.0,0.0,5.294169168336307e-05,8.811397591166229e-06,7.07504967403579e-05,2.1930746968035496e-06,1.2547833051526104e-05,7.69778410607814e-06,1,0.0,0.0,1.9124999999999976,8.175,7.556250000000001,1.1374999999999993,0,1,36
36,2020-04-06,3.2109789793261106e-06,7.42538888969164e-05,4.214409910365522e-06,7.826761262107402e-05,0.0,0.0,7.812968013864367e-05,8.312915863878942e-06,4.382573728340571e-05,1.0965373484017748e-06,3.942333362997252e-05,1.23550176500252e-05,1,0.0,0.0,-1.5749999999999955,4.625,0.18125,-3.4874999999999936,1,1,37
37,2020-04-07,7.2247027034837505e-06,6.923673424171915e-05,3.2109789793261106e-06,7.42538888969164e-05,0.0,0.0,8.005030091142687e-05,1.6229978591382715e-05,4.5697002106221806e-05,2.0619669703642057e-06,3.942333362997252e-05,2.1002046809646708e-05,1,0.0,0.0,1.3625000000000007,3.2,0.00625,2.9374999999999964,2,1,38
38,2020-04-08,5.017154655197052e-06,7.325045796587699e-05,7.2247027034837505e-06,6.923673424171915e-05,0.0,0.0,7.55346429112951e-05,1.5101064091349756e-05,4.771129353969904e-05,3.02739659232664e-06,5.711785470617907e-05,8.068582955118522e-06,1,0.0,0.0,1.2750000000000004,4.775,0.00625,-0.0875000000000003,3,1,39
