,0
0,"AR, AR1, Regressor = None"
1,"AR, AR2, Regressor = None"
2,"OLS, ARNone, Regressor = log_new_people_vaccinated_per_capita"
3,"OLS, ARNone, Regressor = delta_cases_per_capita"
4,"OLS, ARNone, Regressor = Kingdom"
5,"OLS, ARNone, Regressor = delta_cases_per_capita_Germany"
6,"OLS, ARNone, Regressor = delta_cases_per_capita_France"
7,"OLS, ARNone, Regressor = Kingdom"
8,"OLS, ARNone, Regressor = delta_deaths_per_capita_Germany"
9,"OLS, ARNone, Regressor = delta_deaths_per_capita_France"
10,"OLS, ARNone, Regressor = full_lockdown"
11,"OLS, ARNone, Regressor = full_lockdown.l30"
12,"OLS, ARNone, Regressor = full_lockdown.l45"
13,"OLS, ARNone, Regressor = max_tp"
14,"OLS, ARNone, Regressor = min_tp"
15,"OLS, ARNone, Regressor = rain"
16,"OLS, ARNone, Regressor = humidity"
17,"OLS, ARNone, Regressor = day_of_the_week"
18,"OLS, ARNone, Regressor = trend"
19,"ARX, AR1, Regressor = log_new_people_vaccinated_per_capita"
20,"ARX, AR1, Regressor = delta_cases_per_capita"
21,"ARX, AR1, Regressor = Kingdom"
22,"ARX, AR1, Regressor = delta_deaths_per_capita_Germany"
23,"ARX, AR1, Regressor = delta_deaths_per_capita_France"
24,"ARX, AR1, Regressor = full_lockdown"
25,"ARX, AR1, Regressor = full_lockdown.l30"
26,"ARX, AR1, Regressor = full_lockdown.l45"
27,"ARX, AR1, Regressor = max_tp"
28,"ARX, AR1, Regressor = min_tp"
29,"ARX, AR1, Regressor = rain"
30,"ARX, AR1, Regressor = humidity"
31,"ARX, AR1, Regressor = day_of_the_week"
32,"ARX, AR1, Regressor = trend"
33,"ARX, AR2, Regressor = log_new_people_vaccinated_per_capita"
34,"ARX, AR2, Regressor = delta_cases_per_capita"
35,"ARX, AR2, Regressor = Kingdom"
36,"ARX, AR2, Regressor = delta_deaths_per_capita_Germany"
37,"ARX, AR2, Regressor = delta_deaths_per_capita_France"
38,"ARX, AR2, Regressor = full_lockdown"
39,"ARX, AR2, Regressor = full_lockdown.l30"
40,"ARX, AR2, Regressor = full_lockdown.l45"
41,"ARX, AR2, Regressor = max_tp"
42,"ARX, AR2, Regressor = min_tp"
43,"ARX, AR2, Regressor = rain"
44,"ARX, AR2, Regressor = humidity"
45,"ARX, AR2, Regressor = day_of_the_week"
46,"ARX, AR2, Regressor = trend"
