date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-Mar-10,0,0,0,10.1,1,-4.1,-9.9, 
02-Mar-10,0,0,0,8.1,1,-4,-9, 
03-Mar-10,0,0,0,7.1,1,-2,-2.4, 
04-Mar-10,0,0,0,9.7,1,-2.6,-8.6, 
05-Mar-10,0,0,0,10.7,1,-5.1,-11.4, 
06-Mar-10,0,0,0,8.8,1,-2.7,-8.6, 
07-Mar-10,0,0,0,7.7,1,-0.6,-7.3, 
08-Mar-10,0,0,0,8.2,1,-6.4,-13.1, 
09-Mar-10,0,0,0,10.1,1,-5.7,-11.9, 
10-Mar-10,0,0,0,9.8,1,-4.4,-10.4, 
11-Mar-10,0,0,0,10.2,1,-3.8,-10.5, 
12-Mar-10,0,0,0,10.7,1,-0.8,-6.8, 
13-Mar-10,0,0,0,9.8,0,4.5,2, 
14-Mar-10,0,0,0,13.5,1,-2,-8.8, 
15-Mar-10,0,0,0,12.4,1,-2.9,-9.4, 
16-Mar-10,0,0.3,0,9.8,1,-1.7,-8, 
17-Mar-10,0,0,0,14.3,0,5.8,3.8, 
18-Mar-10,0,2.4,0,13.7,0,9.5,8.5, 
19-Mar-10,0,9.9,0,10.4,0,3.4,-2.6, 
20-Mar-10,0,0.5,0,13,0,5.5,3.3, 
21-Mar-10,0,7.2,0,15.4,0,0.7,-5.8, 
22-Mar-10,0,0.6,0,12.3,0,6.2,5.5, 
23-Mar-10,0,7.2,0,9.7,0,0.9,-5.2, 
24-Mar-10,0,5.8,0,13.5,0,6.8,5.2, 
25-Mar-10,0,4.1,0,12.8,0,8.2,5.8, 
26-Mar-10,0,1.2,0,12.7,0,6.1,0.9, 
27-Mar-10,4,0,0,13.8,0,3.8,-1.8, 
28-Mar-10,0,8.7,0,12.4,0,4.7,-0.5, 
29-Mar-10,0,6.6,0,12.4,0,5,4.5, 
30-Mar-10,0,10.9,0,6.4,0,1.2,0, 
31-Mar-10,0,1.6,0,8.4,0,0.5,-0.2, 
01-Apr-10,0,6.9, , , , , , 
02-Apr-10,0,0.6, , , , , , 
03-Apr-10,0,2.7, , , , , , 
04-Apr-10,0,4, , , , , , 
05-Apr-10,0,14.2, , , , , , 
06-Apr-10,0,3.8, , , , , , 
07-Apr-10,0,0, , , , , , 
08-Apr-10,0,0, , , , , , 
09-Apr-10,4,0, , , , , , 
10-Apr-10,0,0, , , , , , 
11-Apr-10,0,0, , , , , , 
12-Apr-10,0,0, , , , , , 
