date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-Mar-10,0,0, , , , , , 
02-Mar-10,0,0, , , , , , 
03-Mar-10,4,0, , , , , , 
04-Mar-10,0,0, , , , , , 
05-Mar-10,0,0, , , , , , 
06-Mar-10,0,0, , , , , , 
07-Mar-10,0,0, , , , , , 
08-Mar-10,0,0, , , , , , 
09-Mar-10,0,0, , , , , , 
10-Mar-10,0,0, , , , , , 
11-Mar-10,4,0, , , , , , 
12-Mar-10,0,0, , , , , , 
13-Mar-10,0,0, , , , , , 
14-Mar-10,0,0, , , , , , 
15-Mar-10,0,0, , , , , , 
16-Mar-10,4,0, , , , , , 
17-Mar-10,4,0, , , , , , 
18-Mar-10,0,3, , , , , , 
19-Mar-10,0,8, , , , , , 
20-Mar-10,4,0, , , , , , 
21-Mar-10,0,4.7, , , , , , 
22-Mar-10,0,1.5, , , , , , 
23-Mar-10,0,8.8, , , , , , 
24-Mar-10,0,2.7, , , , , , 
25-Mar-10,0,3.6, , , , , , 
26-Mar-10,4,0, , , , , , 
27-Mar-10,4,0, , , , , , 
28-Mar-10,0,7.1, , , , , , 
29-Mar-10,0,21.6, , , , , , 
30-Mar-10,0,13, , , , , , 
31-Mar-10,0,2.1, , , , , , 
01-Apr-10,0,6.6, , , , , , 
02-Apr-10,0,0.1, , , , , , 
03-Apr-10,0,0.2, , , , , , 
04-Apr-10,0,2, , , , , , 
05-Apr-10,0,18.5, , , , , , 
06-Apr-10,0,1.6, , , , , , 
07-Apr-10,0,0, , , , , , 
08-Apr-10,0,0, , , , , , 
09-Apr-10,0,0, , , , , , 
10-Apr-10,0,0, , , , , , 
11-Apr-10,0,0, , , , , , 
12-Apr-10,0,0, , , , , , 
13-Apr-10,0,0, , , , , , 
14-Apr-10,0,0, , , , , , 
15-Apr-10,0,0, , , , , , 
16-Apr-10,0,0, , , , , , 
17-Apr-10,0,0, , , , , , 
18-Apr-10,0,0, , , , , , 
19-Apr-10,0,0, , , , , , 
20-Apr-10,0,0, , , , , , 
21-Apr-10,0,0, , , , , , 
22-Apr-10,0,0, , , , , , 
23-Apr-10,0,0, , , , , , 
24-Apr-10,0,1.2, , , , , , 
25-Apr-10,0,7.1, , , , , , 
26-Apr-10,4,0, , , , , , 
27-Apr-10,0,0.8, , , , , , 
28-Apr-10,0,0.3, , , , , , 
29-Apr-10,0,0.8, , , , , , 
30-Apr-10,0,1.2, , , , , , 
01-May-10,0,4.3, , , , , , 
02-May-10,0,0.2, , , , , , 
03-May-10,0,0, , , , , , 
04-May-10,0,0.5, , , , , , 
05-May-10,0,7.8, , , , , , 
06-May-10,4,0, , , , , , 
07-May-10,4,0, , , , , , 
08-May-10,0,0, , , , , , 
09-May-10,0,0, , , , , , 
10-May-10,4,0, , , , , , 
11-May-10,0,2.1, , , , , , 
12-May-10,4,0, , , , , , 
13-May-10,0,1.4, , , , , , 
14-May-10,4,0, , , , , , 
15-May-10,0,0.4, , , , , , 
16-May-10,0,0, , , , , , 
17-May-10,0,0.4, , , , , , 
18-May-10,0,2.9, , , , , , 
19-May-10,4,0, , , , , , 
20-May-10,0,0, , , , , , 
21-May-10,0,0, , , , , , 
22-May-10,0,0, , , , , , 
23-May-10,0,0, , , , , , 
24-May-10,0,0, , , , , , 
25-May-10,0,0, , , , , , 
26-May-10,0,0, , , , , , 
27-May-10,0,2.4, , , , , , 
28-May-10,0,10.6, , , , , , 
29-May-10,4,0, , , , , , 
30-May-10,4,0, , , , , , 
31-May-10,0,15.8, , , , , , 
01-Jun-10,0,0, , , , , , 
02-Jun-10,0,0, , , , , , 
03-Jun-10,0,0, , , , , , 
04-Jun-10,0,0, , , , , , 
05-Jun-10,0,9.1, , , , , , 
06-Jun-10,4,0, , , , , , 
07-Jun-10,0,9.2, , , , , , 
08-Jun-10,4,0, , , , , , 
09-Jun-10,4,0, , , , , , 
10-Jun-10,0,0, , , , , , 
11-Jun-10,0,0, , , , , , 
12-Jun-10,4,0, , , , , , 
13-Jun-10,0,5.7, , , , , , 
14-Jun-10,0,0, , , , , , 
15-Jun-10,0,0, , , , , , 
16-Jun-10,0,0, , , , , , 
17-Jun-10,0,0, , , , , , 
18-Jun-10,4,0, , , , , , 
19-Jun-10,0,0, , , , , , 
20-Jun-10,0,0, , , , , , 
21-Jun-10,0,0, , , , , , 
22-Jun-10,0,0, , , , , , 
23-Jun-10,4,0, , , , , , 
24-Jun-10,0,0, , , , , , 
25-Jun-10,0,0.1, , , , , , 
26-Jun-10,4,0, , , , , , 
27-Jun-10,0,2.3, , , , , , 
28-Jun-10,0,0.7, , , , , , 
29-Jun-10,0,0, , , , , , 
30-Jun-10,0,12, , , , , , 
01-Jul-10,0,0, , , , , , 
02-Jul-10,0,0.5, , , , , , 
03-Jul-10,4,0, , , , , , 
04-Jul-10,0,0.9, , , , , , 
05-Jul-10,4,0, , , , , , 
06-Jul-10,0,1.6, , , , , , 
07-Jul-10,0,0, , , , , , 
08-Jul-10,0,4.3, , , , , , 
